Token,Description,Exchange,Lot_size,Tick_size,Reserved,Trading_hours,Expiry_date,Expiry_timestamp,Symbol,Segment,Instrument_type,Symbol_token,Underlying,Underlying_token,Strike_price,Option_type,Isin,Field1,Field2,Field3
12112607301146288,BANKEX 30 Jul 26 FUT ,11,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785405600,BSE:BANKEX26JULFUT,12,11,1146288,BANKEX,12,-1.0,,121000000012,,0,0.0
1211260827826625,BANKEX 27 Aug 26 FUT ,11,30,0.05,,0915-1530|1815-1915:,2026-07-15,1787824800,BSE:BANKEX26AUGFUT,12,11,826625,BANKEX,12,-1.0,,121000000012,,0,0.0
1211260924845529,BANKEX 24 Sep 26 FUT ,11,30,0.05,,0915-1530|1815-1915:,2026-07-15,1790244000,BSE:BANKEX26SEPFUT,12,11,845529,BANKEX,12,-1.0,,121000000012,,0,0.0
12112607301144507,SENSEX 30 Jul 26 FUT ,11,20,0.05,,0915-1530|1815-1915:,2026-07-15,1785405600,BSE:SENSEX26JULFUT,12,11,1144507,SENSEX,1,-1.0,,12100000001,,0,0.0
1211260827825622,SENSEX 27 Aug 26 FUT ,11,20,0.05,,0915-1530|1815-1915:,2026-07-15,1787824800,BSE:SENSEX26AUGFUT,12,11,825622,SENSEX,1,-1.0,,12100000001,,0,0.0
1211260924844615,SENSEX 24 Sep 26 FUT ,11,20,0.05,,0915-1530|1815-1915:,2026-07-15,1790244000,BSE:SENSEX26SEPFUT,12,11,844615,SENSEX,1,-1.0,,12100000001,,0,0.0
12112607301136193,BANKEX 30 Jul 26 56300 PE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785405600,BSE:BANKEX26JUL56300PE,12,11,1136193,BANKEX,12,56300.0,PE,121000000012,,0,0.0
12112607301136196,BANKEX 30 Jul 26 58600 PE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785405600,BSE:BANKEX26JUL58600PE,12,11,1136196,BANKEX,12,58600.0,PE,121000000012,,0,0.0
12112607301136315,BANKEX 30 Jul 26 54900 PE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785405600,BSE:BANKEX26JUL54900PE,12,11,1136315,BANKEX,12,54900.0,PE,121000000012,,0,0.0
12112607301136340,BANKEX 30 Jul 26 64000 PE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785405600,BSE:BANKEX26JUL64000PE,12,11,1136340,BANKEX,12,64000.0,PE,121000000012,,0,0.0
12112607301136345,BANKEX 30 Jul 26 66300 PE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785405600,BSE:BANKEX26JUL66300PE,12,11,1136345,BANKEX,12,66300.0,PE,121000000012,,0,0.0
12112607301136346,BANKEX 30 Jul 26 68600 PE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785405600,BSE:BANKEX26JUL68600PE,12,11,1136346,BANKEX,12,68600.0,PE,121000000012,,0,0.0
