Token,Description,Exchange,Lot_size,Tick_size,Reserved,Trading_hours,Expiry_date,Expiry_timestamp,Symbol,Segment,Instrument_type,Symbol_token,Underlying,Underlying_token,Strike_price,Option_type,Isin,Field1,Field2,Field3
101126072861088,BANKNIFTY 28 Jul 26 FUT,11,30,0.2,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JULFUT,10,11,61088,BANKNIFTY,26009,-1.0,XX,101000000026009,,0,0.0
101126082558067,BANKNIFTY 25 Aug 26 FUT,11,30,0.2,,0915-1530|1815-1915:,2026-07-15,1787652000,NSE:BANKNIFTY26AUGFUT,10,11,58067,BANKNIFTY,26009,-1.0,XX,101000000026009,,0,0.0
101126092968390,BANKNIFTY 29 Sep 26 FUT,11,30,0.2,,0915-1530|1815-1915:,2026-07-15,1790676000,NSE:BANKNIFTY26SEPFUT,10,11,68390,BANKNIFTY,26009,-1.0,XX,101000000026009,,0,0.0
101126072861091,FINNIFTY 28 Jul 26 FUT,11,60,0.1,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:FINNIFTY26JULFUT,10,11,61091,FINNIFTY,26037,-1.0,XX,101000000026037,,0,0.0
101126082558070,FINNIFTY 25 Aug 26 FUT,11,60,0.1,,0915-1530|1815-1915:,2026-07-15,1787652000,NSE:FINNIFTY26AUGFUT,10,11,58070,FINNIFTY,26037,-1.0,XX,101000000026037,,0,0.0
101126092968391,FINNIFTY 29 Sep 26 FUT,11,60,0.1,,0915-1530|1815-1915:,2026-07-15,1790676000,NSE:FINNIFTY26SEPFUT,10,11,68391,FINNIFTY,26037,-1.0,XX,101000000026037,,0,0.0
101126072861093,NIFTY 28 Jul 26 FUT,11,65,0.1,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:NIFTY26JULFUT,10,11,61093,NIFTY,26000,-1.0,XX,101000000026000,,0,0.0
101126082558072,NIFTY 25 Aug 26 FUT,11,65,0.1,,0915-1530|1815-1915:,2026-07-15,1787652000,NSE:NIFTY26AUGFUT,10,11,58072,NIFTY,26000,-1.0,XX,101000000026000,,0,0.0
101126092968407,NIFTY 29 Sep 26 FUT,11,65,0.1,,0915-1530|1815-1915:,2026-07-15,1790676000,NSE:NIFTY26SEPFUT,10,11,68407,NIFTY,26000,-1.0,XX,101000000026000,,0,0.0
101126072835100,BANKNIFTY 28 Jul 26 32500 CE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL32500CE,10,11,35100,BANKNIFTY,26009,32500.0,CE,101000000026009,,0,0.0
101126072835101,BANKNIFTY 28 Jul 26 32500 PE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL32500PE,10,11,35101,BANKNIFTY,26009,32500.0,PE,101000000026009,,0,0.0
101126072835111,BANKNIFTY 28 Jul 26 39900 CE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL39900CE,10,11,35111,BANKNIFTY,26009,39900.0,CE,101000000026009,,0,0.0
101126072835112,BANKNIFTY 28 Jul 26 39900 PE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL39900PE,10,11,35112,BANKNIFTY,26009,39900.0,PE,101000000026009,,0,0.0
101126072835156,BANKNIFTY 28 Jul 26 40100 CE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL40100CE,10,11,35156,BANKNIFTY,26009,40100.0,CE,101000000026009,,0,0.0
101126072835157,BANKNIFTY 28 Jul 26 40100 PE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL40100PE,10,11,35157,BANKNIFTY,26009,40100.0,PE,101000000026009,,0,0.0
101126072835162,BANKNIFTY 28 Jul 26 40200 CE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL40200CE,10,11,35162,BANKNIFTY,26009,40200.0,CE,101000000026009,,0,0.0
101126072835163,BANKNIFTY 28 Jul 26 40200 PE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL40200PE,10,11,35163,BANKNIFTY,26009,40200.0,PE,101000000026009,,0,0.0
101126072835172,BANKNIFTY 28 Jul 26 40300 CE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL40300CE,10,11,35172,BANKNIFTY,26009,40300.0,CE,101000000026009,,0,0.0
101126072835173,BANKNIFTY 28 Jul 26 40300 PE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL40300PE,10,11,35173,BANKNIFTY,26009,40300.0,PE,101000000026009,,0,0.0
101126072835658,BANKNIFTY 28 Jul 26 71900 CE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL71900CE,10,11,35658,BANKNIFTY,26009,71900.0,CE,101000000026009,,0,0.0
101126072835659,BANKNIFTY 28 Jul 26 71900 PE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL71900PE,10,11,35659,BANKNIFTY,26009,71900.0,PE,101000000026009,,0,0.0
101126072835877,BANKNIFTY 28 Jul 26 72100 CE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL72100CE,10,11,35877,BANKNIFTY,26009,72100.0,CE,101000000026009,,0,0.0
101126072835878,BANKNIFTY 28 Jul 26 72100 PE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL72100PE,10,11,35878,BANKNIFTY,26009,72100.0,PE,101000000026009,,0,0.0
101126072835879,BANKNIFTY 28 Jul 26 72200 CE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL72200CE,10,11,35879,BANKNIFTY,26009,72200.0,CE,101000000026009,,0,0.0
101126072835881,BANKNIFTY 28 Jul 26 72200 PE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL72200PE,10,11,35881,BANKNIFTY,26009,72200.0,PE,101000000026009,,0,0.0
101126072836248,BANKNIFTY 28 Jul 26 70600 CE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL70600CE,10,11,36248,BANKNIFTY,26009,70600.0,CE,101000000026009,,0,0.0
101126072836249,BANKNIFTY 28 Jul 26 70600 PE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL70600PE,10,11,36249,BANKNIFTY,26009,70600.0,PE,101000000026009,,0,0.0
101126072836260,BANKNIFTY 28 Jul 26 70700 CE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL70700CE,10,11,36260,BANKNIFTY,26009,70700.0,CE,101000000026009,,0,0.0
101126072836263,BANKNIFTY 28 Jul 26 70700 PE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL70700PE,10,11,36263,BANKNIFTY,26009,70700.0,PE,101000000026009,,0,0.0
101126072836558,BANKNIFTY 28 Jul 26 73300 CE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL73300CE,10,11,36558,BANKNIFTY,26009,73300.0,CE,101000000026009,,0,0.0
101126072836559,BANKNIFTY 28 Jul 26 73300 PE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL73300PE,10,11,36559,BANKNIFTY,26009,73300.0,PE,101000000026009,,0,0.0
101126072836560,BANKNIFTY 28 Jul 26 81000 CE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL81000CE,10,11,36560,BANKNIFTY,26009,81000.0,CE,101000000026009,,0,0.0
101126072836561,BANKNIFTY 28 Jul 26 81000 PE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL81000PE,10,11,36561,BANKNIFTY,26009,81000.0,PE,101000000026009,,0,0.0
101126072837185,BANKNIFTY 28 Jul 26 70800 CE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL70800CE,10,11,37185,BANKNIFTY,26009,70800.0,CE,101000000026009,,0,0.0
101126072837186,BANKNIFTY 28 Jul 26 70800 PE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL70800PE,10,11,37186,BANKNIFTY,26009,70800.0,PE,101000000026009,,0,0.0
101126072837187,BANKNIFTY 28 Jul 26 70900 CE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL70900CE,10,11,37187,BANKNIFTY,26009,70900.0,CE,101000000026009,,0,0.0
101126072837192,BANKNIFTY 28 Jul 26 70900 PE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL70900PE,10,11,37192,BANKNIFTY,26009,70900.0,PE,101000000026009,,0,0.0
101126072837193,BANKNIFTY 28 Jul 26 78500 CE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL78500CE,10,11,37193,BANKNIFTY,26009,78500.0,CE,101000000026009,,0,0.0
101126072837194,BANKNIFTY 28 Jul 26 78500 PE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL78500PE,10,11,37194,BANKNIFTY,26009,78500.0,PE,101000000026009,,0,0.0
101126072839305,BANKNIFTY 28 Jul 26 72400 CE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL72400CE,10,11,39305,BANKNIFTY,26009,72400.0,CE,101000000026009,,0,0.0
101126072839306,BANKNIFTY 28 Jul 26 72400 PE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL72400PE,10,11,39306,BANKNIFTY,26009,72400.0,PE,101000000026009,,0,0.0
101126072839575,BANKNIFTY 28 Jul 26 72600 CE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL72600CE,10,11,39575,BANKNIFTY,26009,72600.0,CE,101000000026009,,0,0.0
101126072839576,BANKNIFTY 28 Jul 26 72600 PE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL72600PE,10,11,39576,BANKNIFTY,26009,72600.0,PE,101000000026009,,0,0.0
101126072841248,BANKNIFTY 28 Jul 26 73100 CE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL73100CE,10,11,41248,BANKNIFTY,26009,73100.0,CE,101000000026009,,0,0.0
101126072841249,BANKNIFTY 28 Jul 26 73100 PE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL73100PE,10,11,41249,BANKNIFTY,26009,73100.0,PE,101000000026009,,0,0.0
101126072841250,BANKNIFTY 28 Jul 26 73200 CE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL73200CE,10,11,41250,BANKNIFTY,26009,73200.0,CE,101000000026009,,0,0.0
101126072841254,BANKNIFTY 28 Jul 26 73200 PE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL73200PE,10,11,41254,BANKNIFTY,26009,73200.0,PE,101000000026009,,0,0.0
101126072841912,BANKNIFTY 28 Jul 26 32000 CE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL32000CE,10,11,41912,BANKNIFTY,26009,32000.0,CE,101000000026009,,0,0.0
101126072841913,BANKNIFTY 28 Jul 26 32000 PE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL32000PE,10,11,41913,BANKNIFTY,26009,32000.0,PE,101000000026009,,0,0.0
101126072841914,BANKNIFTY 28 Jul 26 39600 CE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL39600CE,10,11,41914,BANKNIFTY,26009,39600.0,CE,101000000026009,,0,0.0
101126072841915,BANKNIFTY 28 Jul 26 39600 PE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL39600PE,10,11,41915,BANKNIFTY,26009,39600.0,PE,101000000026009,,0,0.0
101126072841916,BANKNIFTY 28 Jul 26 39700 CE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL39700CE,10,11,41916,BANKNIFTY,26009,39700.0,CE,101000000026009,,0,0.0
101126072841917,BANKNIFTY 28 Jul 26 39700 PE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL39700PE,10,11,41917,BANKNIFTY,26009,39700.0,PE,101000000026009,,0,0.0
101126072841918,BANKNIFTY 28 Jul 26 39800 CE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL39800CE,10,11,41918,BANKNIFTY,26009,39800.0,CE,101000000026009,,0,0.0
101126072841919,BANKNIFTY 28 Jul 26 39800 PE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL39800PE,10,11,41919,BANKNIFTY,26009,39800.0,PE,101000000026009,,0,0.0
101126072848748,BANKNIFTY 28 Jul 26 39400 CE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL39400CE,10,11,48748,BANKNIFTY,26009,39400.0,CE,101000000026009,,0,0.0
101126072848749,BANKNIFTY 28 Jul 26 39400 PE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL39400PE,10,11,48749,BANKNIFTY,26009,39400.0,PE,101000000026009,,0,0.0
101126072850125,BANKNIFTY 28 Jul 26 31000 CE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL31000CE,10,11,50125,BANKNIFTY,26009,31000.0,CE,101000000026009,,0,0.0
101126072850126,BANKNIFTY 28 Jul 26 31000 PE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL31000PE,10,11,50126,BANKNIFTY,26009,31000.0,PE,101000000026009,,0,0.0
101126072850127,BANKNIFTY 28 Jul 26 31500 CE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL31500CE,10,11,50127,BANKNIFTY,26009,31500.0,CE,101000000026009,,0,0.0
101126072850140,BANKNIFTY 28 Jul 26 31500 PE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL31500PE,10,11,50140,BANKNIFTY,26009,31500.0,PE,101000000026009,,0,0.0
101126072850141,BANKNIFTY 28 Jul 26 38600 CE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL38600CE,10,11,50141,BANKNIFTY,26009,38600.0,CE,101000000026009,,0,0.0
101126072850142,BANKNIFTY 28 Jul 26 38600 PE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL38600PE,10,11,50142,BANKNIFTY,26009,38600.0,PE,101000000026009,,0,0.0
101126072850143,BANKNIFTY 28 Jul 26 38700 CE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL38700CE,10,11,50143,BANKNIFTY,26009,38700.0,CE,101000000026009,,0,0.0
101126072850144,BANKNIFTY 28 Jul 26 38700 PE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL38700PE,10,11,50144,BANKNIFTY,26009,38700.0,PE,101000000026009,,0,0.0
101126072850145,BANKNIFTY 28 Jul 26 38800 CE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL38800CE,10,11,50145,BANKNIFTY,26009,38800.0,CE,101000000026009,,0,0.0
101126072850146,BANKNIFTY 28 Jul 26 38800 PE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL38800PE,10,11,50146,BANKNIFTY,26009,38800.0,PE,101000000026009,,0,0.0
101126072850147,BANKNIFTY 28 Jul 26 38900 CE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL38900CE,10,11,50147,BANKNIFTY,26009,38900.0,CE,101000000026009,,0,0.0
101126072850148,BANKNIFTY 28 Jul 26 38900 PE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL38900PE,10,11,50148,BANKNIFTY,26009,38900.0,PE,101000000026009,,0,0.0
101126072850149,BANKNIFTY 28 Jul 26 39100 CE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL39100CE,10,11,50149,BANKNIFTY,26009,39100.0,CE,101000000026009,,0,0.0
101126072850150,BANKNIFTY 28 Jul 26 39100 PE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL39100PE,10,11,50150,BANKNIFTY,26009,39100.0,PE,101000000026009,,0,0.0
101126072850151,BANKNIFTY 28 Jul 26 39200 CE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL39200CE,10,11,50151,BANKNIFTY,26009,39200.0,CE,101000000026009,,0,0.0
101126072850152,BANKNIFTY 28 Jul 26 39200 PE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL39200PE,10,11,50152,BANKNIFTY,26009,39200.0,PE,101000000026009,,0,0.0
101126072850153,BANKNIFTY 28 Jul 26 39300 CE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL39300CE,10,11,50153,BANKNIFTY,26009,39300.0,CE,101000000026009,,0,0.0
101126072850154,BANKNIFTY 28 Jul 26 39300 PE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL39300PE,10,11,50154,BANKNIFTY,26009,39300.0,PE,101000000026009,,0,0.0
101126072854075,BANKNIFTY 28 Jul 26 71100 CE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL71100CE,10,11,54075,BANKNIFTY,26009,71100.0,CE,101000000026009,,0,0.0
101126072854076,BANKNIFTY 28 Jul 26 71100 PE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL71100PE,10,11,54076,BANKNIFTY,26009,71100.0,PE,101000000026009,,0,0.0
101126072854077,BANKNIFTY 28 Jul 26 71200 CE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL71200CE,10,11,54077,BANKNIFTY,26009,71200.0,CE,101000000026009,,0,0.0
101126072854078,BANKNIFTY 28 Jul 26 71200 PE,14,30,0.05,,0915-1530|1815-1915:,2026-07-15,1785232800,NSE:BANKNIFTY26JUL71200PE,10,11,54078,BANKNIFTY,26009,71200.0,PE,101000000026009,,0,0.0
